Column A,Column B,Start Position,End Position
דף חדש נהוראי אריאלי,נהוראי אריאלי,2,3
גבי אהרון בסינגל בכורה  – תפילה אחת,גבי אהרון,0,1
דוידי נחשון מארח את דייויד טויב ומיכאל אזולאי - מחרוזת פורים 1,דוידי נחשון,0,1
דוידי נחשון מארח את דייויד טויב ומיכאל אזולאי - מחרוזת פורים 1,דייויד טויב,4,5
זאנוויל ויינברגר ומקהלת שירה בביצע וואקלי אנא בכוח,זאנוויל ויינברגר,0,1
הרב מנחם מענדל עמאר מתכבד להגיש ''ניגון התוועדות לר׳ שלום חריטונוב'',שלום חריטונוב,10,11
ההמגיד – סינגל בכורה לזמר קובי גרינבוים,קובי גרינבוים,5,6
14 - ניגון שמחה - שלמה כהן,שלמה כהן,5,6
יומם של מיילך קאהן עי Strumz באנד,מיילך קאהן,2,3
דוד גבאי - בורא עולם,דוד גבאי,0,1
ארי היל ושמחה פרידמן בקאבר לשיר 'מוכנים',ארי היל,0,1
יונתן שינפלד בסינגל חדש ''רגעים'',יונתן שינפלד,0,1
מנדי וורך מגיש סינל חדש רבי תגיד לי (Rebbe Tell Me) מבית 'תודה לך השם' TYH,מנדי וורך,0,1
זאבי וולס בסינגל חדש אחת שאלתי,זאבי וולס,0,1
יעקב שוואקי באלבום בינלאומי חדש מוזיקה MUSICA,יעקב שוואקי,0,1
ילד הפלא דודי לינקר & שלוימי דסקל יבנה המקדש,דודי לינקר,2,3
ילד הפלא דודי לינקר & שלוימי דסקל יבנה המקדש,שלוימי דסקל,5,6
ר לוי יצחק  פרויקט TYH שרולי גרין,שרולי גרין,6,7
"שולי רנד, וחתן הבר מצווה נתי ליכטשטיין, בדואט משותף 'בין קודש לחול'",שולי רנד,0,1
שלמה רג'ה בסינגל חדש בשם 'תפילות' מתוך אלבום מס' 2 הנקרא ''חצות'',שלמה רג'ה,0,1
הראפר ניסים בלאק כובש בסינגל חדש – זמן חרותנו,ניסים בלאק,1,2
פיני איינהורן ושמחה אברמצ'יק מגישים מחרוזת פורים תשפ''ג,פיני איינהורן,0,1
שוכי גולדשטיין בשיר חדש לל''ג בעומר ''לכל ישראל האיר'',שוכי גולדשטיין,0,1
משה יעקב בן ארויה בסינגל חדש אבנים מספרות,משה יעקב,0,1
חיים דבש בסינגל חדש מגשים חלום,חיים דבש,0,1
"ארי היל, יואלי קליין, שעיה גרוס בירסת רמיקס ''לבוא אל המלך''",ארי היל,0,1
"ארי היל, יואלי קליין, שעיה גרוס בירסת רמיקס ''לבוא אל המלך''",יואלי קליין,3,4
עמירן דביר והלהקה - אנא בכח,עמירן דביר,0,1
איתמר שטיין מוציא סינגל חדש ומפתיע לכבוד פורים - ''ראפורים'',איתמר שטיין,0,1
"אלימלך ברוינשטיין, מקהלת שירה - רצוננו",מקהלת שירה,3,4
ברוך שלום בלסופסקי - כי עליך עינינו,ברוך שלום,0,1
& מקהלת ידידים - ישאלוני רעיוני,מקהלת ידידים,1,2
02 - לב טהור - מוטי שטיינמץ,לב טהור,2,3
02 - לב טהור - מוטי שטיינמץ,מוטי שטיינמץ,5,6
חיים דבש מחדש את הנוסטלגיה באלבומו רגעי קסם,חיים דבש,0,1
עמנואל שולמן בסינגל חדש ''אם כולם היו'',עמנואל שולמן,0,1
משה לוק וחברים - אללה אלאלי,משה לוק,0,1
יענקי דסקל ומקהלת מלכות בסינגל חדש ''העבר עיני'',יענקי דסקל,0,1
אחד אל אחד הלל מאיר ונאור אלחדד תפילת השל ה Hillel Meir Naor Elchadad Cover,הלל מאיר,3,4
מקהלת מלכות ובנה ירושלים-ווקאלי,מקהלת מלכות,0,1
באווירת הימים הנוראים - אודי דוידי מרגש עם תקע,אודי דוידי,4,5
עוזיה צדוק חוזר  עם סינגל חדש שיר ימיך,עוזיה צדוק,0,1
מאיר אדלר מבצע בקומזיץ שירים ונוסח של ויז'ניץ,מאיר אדלר,0,1
אהרן רזאל בלחן סליחות מקורי עזב נא בן אדם,אהרן רזאל,0,1
יעקב שוואקי מגיש רבי נהוראי בגרסת רמיקס,יעקב שוואקי,0,1
11 דודי הרשקופ מרגש לרגל הילולת ר' ישעיל'ה  - ר' ישעי' בן ר' משה (ווקאלי),דודי הרשקופ,1,2
בנצי קלצקין ומקהלת 'מלכות' בסינגל חדש ''נכספה'',בנצי קלצקין,0,1
נפתלי בלומנטל בסינגל חדש מאין,נפתלי בלומנטל,0,1
דיג'יי פארברנגן מנדי וורך ושרולי גרין ''אפ-מיקס פסח'',מנדי וורך,2,3
ישראל ג'רופי בסינגל חדש 'אשריכם,ישראל ג'רופי,0,1
מיכה שקד מזמר את חיים נחמן ביאליק ביידיש,מיכה שקד,0,1
מיכה שקד מזמר את חיים נחמן ביאליק ביידיש,חיים נחמן,4,5
קובי גרינבוים ומקהלת 'מלכות' פותחים את עונת החתונות,קובי גרינבוים,0,1
שרולי ברונכר & משה חבושה - י-ה ריבון,שרולי ברונכר,0,1
שרולי ברונכר & משה חבושה - י-ה ריבון,משה חבושה,3,4
אלי פרידמן תפס טרמפ ונסע אל בית אבי,אלי פרידמן,0,1
מקהלת ידידים העולמית & שרוליק מנדלסון מארחים את ישי לפידות - מחרוזת שירי חנוכה,מקהלת ידידים,0,1
מקהלת ידידים העולמית & שרוליק מנדלסון מארחים את ישי לפידות - מחרוזת שירי חנוכה,ישי לפידות,8,9
שלום למר וילד הפלא שלום בראדט -נפשי,שלום למר,0,1
שלום למר וילד הפלא שלום בראדט -נפשי,שלום בראדט,4,5
בני פרידמן בסינגל חדש ''ובאותו הזמן'',בני פרידמן,0,1
מעלת ריבוי הלימוד יוסי גרין,יוסי גרין,3,4
יואלי קליין & שייע גרוס - מזמור לתודה,יואלי קליין,0,1
יוסי גרין ואיצי ברי בסינגל חדש הרים יכולים לזוז,יוסי גרין,0,1
אש תמיד מיילך קאהן,מיילך קאהן,2,3
מוטי גולדמן ומקהלת מלכות – 'ניגון זלוטשוב',מוטי גולדמן,0,1
שלום קוראים לי עולם עמירן דביר מילים ולחן שמואל יונה h T5D1Nctyo,עמירן דביר,4,5
שלום קוראים לי עולם עמירן דביר מילים ולחן שמואל יונה h T5D1Nctyo,שמואל יונה,8,9
הודו לה מוטי שטיינמץ,מוטי שטיינמץ,2,3
"שלום למר, אלי שוובל - זה אנחנו",שלום למר,0,1
"שלום למר, אלי שוובל - זה אנחנו",אלי שוובל,3,4
יעקב שוואקי - Light Up the Night,יעקב שוואקי,0,1
מקהלת וויזניץ בית שמש בניגון חדש ''אהבת עולם'' שחיבר ר' שמואל יונה לסיצין,שמואל יונה,13,14
שלום למר חוזר באלבום חדש ''קידוש השם'',שלום למר,0,1
אברהם משה ברדוגו והחבר'ה- לחדש נעורי,אברהם משה ברדוגו,0,2
משה קליין & גד אלבז - לנסות,משה קליין,0,1
משה קליין & גד אלבז - לנסות,גד אלבז,3,4
בורא רפואות יוסף ניוקומב ויוסי האכט ומשה אביגדור,יוסף ניוקומב,2,3
06 רבון העולמים ידעתי - שמחה ליינר,שמחה ליינר,5,6
עמיחי סובר בסינגל חדש חסל,עמיחי סובר,0,1
דניאל ישי בקאבר ווקאלי לשירו של אברהם פריד שלח לי כח,דניאל ישי,0,1
דניאל ישי בקאבר ווקאלי לשירו של אברהם פריד שלח לי כח,אברהם פריד,6,7
מקהלת ידידים החסידית שרים מוצראט,מקהלת ידידים,0,1
זאנוויל ויינברגר מקהלת מלכות ויענקי רובין ריגשו ''נפשי בשאלתי'',זאנוויל ויינברגר,0,1
זאנוויל ויינברגר מקהלת מלכות ויענקי רובין ריגשו ''נפשי בשאלתי'',מקהלת מלכות,2,3
יוסי ברגר בסינגל חדש לכבוד פורים אם על המלך,יוסי ברגר,0,1
בערי וועבר ולהקת סטרומז - לכו נרננה,בערי וועבר,0,1
בני פרידמן בלהיט חדש – ''ימה'',בני פרידמן,0,1
"יואלי קליין, שייע גרוס וילד הפלא בלהיט פורימי חדש אבער קל מסתתר",יואלי קליין,0,1
ישראל מאיר פרידברג - היום ילידיתך,ישראל מאיר פרידברג,0,2
מחרוזת שמחה אנרגטית איתמר שטיין ואליהו לייפער,איתמר שטיין,3,4
05 - נחל נובע - ליפא שמעלצר,ליפא שמעלצר,5,6
ברוך לוין באלבום עשירי - ''לב חדש'',ברוך לוין,0,1
נריה אנג'ל בגרסה מקפיצה ''הולך רק איתך'',נריה אנג'ל,0,1
אברהם פריד - דדא ביה (תשפ''ב) מאת פרוייקט קפיצת הדרך,אברהם פריד,0,1
מיכה גמרמן בסינגל חדש – רבים,מיכה גמרמן,0,1
ונסלח אביתר בנאי,אביתר בנאי,1,2
אהרן רזאל - לך עמי (ווקאלי),אהרן רזאל,0,1
אודי דוידי בדרך לאלבום שמיני אהבת עולם,אודי דוידי,0,1
יענקי ברוין בלחן מרגש למילותיו של ליפא שְׁפֹךְ חֲמָתְךָ,יענקי ברוין,0,1
"לייבי מושקוביץ, הרשי רוטנברג, מקהלת זמרו - אני מאמין",הרשי רוטנברג,3,4
אסף הרוש בסינגל חדש לחיות עוד פעם,אסף הרוש,0,1
"יצחק מאיר, אברהם בלטי  ניגון התבוננות",יצחק מאיר,0,1
"המופע הגדול של צמאה עם ישי ריבו, אברהם פריד, ברי סחרוף ואביתר בנאי. שידור חוזר מחלק המוזיקלי",ישי ריבו,5,6
"המופע הגדול של צמאה עם ישי ריבו, אברהם פריד, ברי סחרוף ואביתר בנאי. שידור חוזר מחלק המוזיקלי",אברהם פריד,8,9
"המופע הגדול של צמאה עם ישי ריבו, אברהם פריד, ברי סחרוף ואביתר בנאי. שידור חוזר מחלק המוזיקלי",ברי סחרוף,11,12
"אייבי רוטנברג, שלמה שמחה וברוך לוין במחרוזת שירים",אייבי רוטנברג,0,1
"אייבי רוטנברג, שלמה שמחה וברוך לוין במחרוזת שירים",שלמה שמחה,3,4
ברוך לוין - אודך השם (ווקאלי),ברוך לוין,0,1
בכורה אברהם פריד שר מרטין מאיר וידרקר – וזכנו,אברהם פריד,1,2
גלעד פוטולסקי בדואט עם בנו חגי תפילת כלה וחתן,גלעד פוטולסקי,0,1
שמש רוח וקפה אודי דמארי,אודי דמארי,3,4
יחיאל ליכטיגר בסינגל חדש ומקפיץ – אמת,יחיאל ליכטיגר,0,1
אלי פרידמן - מחרוזת שירי שבת - מתוך המופע שרים ביקב,אלי פרידמן,0,1
למנצח לידותון- משה לוי  5,משה לוי,2,3
אברימי רוט ובערל צוקר בדואט לזכרו של מרן זצוק''ל,אברימי רוט,0,1
דוד שמחה - אשת חיל,דוד שמחה,0,1
שמע לוי כהן,לוי כהן,1,2
אברהם פריד  ומקהלת זמירות - רק תהיה עצמך,אברהם פריד,0,1
דניאל אדמון - שנים אתה לא פה,דניאל אדמון,0,1
זאבי קאופמן בסינגל חדש אני מאמין,זאבי קאופמן,0,1
נהוראי אריאלי בביצוע לייב ''הגבול זה השמיים & מאן דעביד לטב'',נהוראי אריאלי,0,1
ישראל גברא בסינגל שני אתה המלך,ישראל גברא,0,1
ירושלים  רמיקס עומר אדם _ די ג_י רוני מלר,עומר אדם,4,5
שרולי ברונכר & נתנאל ישראל - בין קודש לחול,שרולי ברונכר,0,1
שרולי ברונכר & נתנאל ישראל - בין קודש לחול,נתנאל ישראל,3,4
אבי אילסון ואיציק דדיה בדואט לוהט של הקיץ ''שבילים'',אבי אילסון,0,1
יוסף נטיב בסינגל חדש ''נורא אתה'',יוסף נטיב,0,1
יוסי גרין & אידיש נחת - ניגון התוועדות שמח מתוך חב''ד 4,יוסי גרין,0,1
יוסי גרין & אידיש נחת - ניגון התוועדות שמח מתוך חב''ד 4,אידיש נחת,3,4
דייויד טויב מארח ידידים בסינגל חדש – די חנוכה ניגון,דייויד טויב,0,1
קובי ברומר בסינגל חדש 'השם ישמור',קובי ברומר,0,1
שמילי אונגר ותזמורת 'סבבה' - בטחו,שמילי אונגר,0,1
האחים עמירן ואריק דביר & מקהלת נרננה במחרוזת מיוחד לחודש אלול,מקהלת נרננה,5,6
אבי אילסון - חתן וגם כלה - רמיקס (עמירם בן לולו & ניסו סלוב),אבי אילסון,0,1
ירושלים עומר אדם,עומר אדם,2,3
מקהלת מלכות & ילדי ביתר - קוֹלַעוֹילֶם בשירת 'ירא שמים' (אונגר),מקהלת מלכות,0,1
12 מקהלת שירה עם זאנוויל ויינברגר בביצוע ווקאלי לשיר ''ממקומך'',מקהלת שירה,1,2
12 מקהלת שירה עם זאנוויל ויינברגר בביצוע ווקאלי לשיר ''ממקומך'',זאנוויל ויינברגר,4,5
לנצח כל מכשול חיים ציפל,חיים ציפל,3,4
לאחר עשור הזמר והיוצר יונה קריאף בסינגל חדש,יונה קריאף,4,5
רולי דיקמן יוצא עם סינגל חדש – 'יש לי טאטע',רולי דיקמן,0,1
"נמואל הרוש, בני פרידמן ואלי מרכוס שרים – 'אני מאמין'",נמואל הרוש,0,1
"נמואל הרוש, בני פרידמן ואלי מרכוס שרים – 'אני מאמין'",בני פרידמן,3,4
משפחת קלצקו בלחן חדש של האב ''כשאני'',משפחת קלצקו,0,1
אביגדור רוט - אבינו,אביגדור רוט,0,1
אברהם משה ברדוגו מגיש ונהפוך הוא,אברהם משה ברדוגו,0,2
אחד אל אחד הלל מאיר וירוחם גולד נשמה Hillel Meir Yerucham Gold Neshama Cover,הלל מאיר,3,4
ישראל סוסנה ותלמידי ישיבת ''אש התלמוד'' שרים ''אהבת תורה'',ישראל סוסנה,0,1
משה פלד עם סינגל אופטימי ומרגש ''אחים'',משה פלד,0,1
אחיה אשר כהן אלורו עם ניגון ראש חודש כסליו,אחיה אשר כהן,0,2
אברימי רוט וחברים מחדשים ''מעל פסגת הר הצופים'',אברימי רוט,0,1
אם תרצו - עמירן דביר שרוליק מנדלסון,עמירן דביר,3,4
נהוראי אריאלי & ליאור פוקס אמא,נהוראי אריאלי,0,1
"10 שלמה יהודה רכניץ, ברוך לוין. משה מנדלוביץ', אברהם חיים גרין ומקהלת שירה - והראינו",שלמה יהודה רכניץ,1,3
"10 שלמה יהודה רכניץ, ברוך לוין. משה מנדלוביץ', אברהם חיים גרין ומקהלת שירה - והראינו",ברוך לוין,5,6
"10 שלמה יהודה רכניץ, ברוך לוין. משה מנדלוביץ', אברהם חיים גרין ומקהלת שירה - והראינו",משה מנדלוביץ,8,9
"10 שלמה יהודה רכניץ, ברוך לוין. משה מנדלוביץ', אברהם חיים גרין ומקהלת שירה - והראינו",אברהם חיים גרין,12,14
נריה אנג'ל - זעקת בניך,נריה אנג'ל,0,1
שלמה שמחה והילד חיים ציפל שרים מכניסי רחמים,שלמה שמחה,0,1
שלמה שמחה והילד חיים ציפל שרים מכניסי רחמים,חיים ציפל,3,4
עקיבא געלב & זלמן לייב פרידמן - נחמו עמי,עקיבא געלב,0,1
ליפא שמעלצר מרדכי בן דוד ומקהלת שירה יוסי שטענדיג,ליפא שמעלצר,0,1
ליפא שמעלצר מרדכי בן דוד ומקהלת שירה יוסי שטענדיג,מרדכי בן דוד,2,4
"דודי קאליש, ארי היל ומקהלת קולות שרים אלו ואלו",דודי קאליש,0,1
"דודי קאליש, ארי היל ומקהלת קולות שרים אלו ואלו",ארי היל,3,4
יהי רצון אליהו לייפער ואיתמר שטיין,אליהו לייפער,2,3
איציק דדיה – ברכת הבנים,איציק דדיה,0,1
"שוכי גולדשטיין, מקהלת קולות, יענקי רובין - מחרוזת חג הפסח",שוכי גולדשטיין,0,1
צמד ילד מחדשים את 'מה אשיב לך',צמד ילד,0,1
נפתלי בלומנטל - ברוך המקום,נפתלי בלומנטל,0,1
יואלי דיקמן והזמרים החבדים במופע 'יט כסליו',יואלי דיקמן,0,1
יוסי גלנץ בסינגל חדש ''תן לי את הלב'',יוסי גלנץ,0,1
אברימי רוט מגיש סינגל חדש ''אם תחנה'' של כצל'ה,אברימי רוט,0,1
"אברימי לונגר, מאיר קליין, שלוימי גוטליב - מחרוזת חסידית מזרחית",אברימי לונגר,0,1
"אברימי לונגר, מאיר קליין, שלוימי גוטליב - מחרוזת חסידית מזרחית",מאיר קליין,3,4
"דודי קאליש וארי היל ריגשו עם הלהיטים, נפשי, ואשת חיל",דודי קאליש,0,1
בלבבי  דרשו מוטי שטיינמץ ומקהלת מלכות,מוטי שטיינמץ,3,4
גד אלבז מגיש לכם להיט חתונות מקפיץ,גד אלבז,0,1
פרחי ירושלים - הַיְדֶּה בִּיבִּי דיינו,פרחי ירושלים,0,1
יוסי גרין ואייזיק האניג והביאנו,יוסי גרין,0,1
עמירן דביר & לירון לב - מחרוזת סוכות,עמירן דביר,0,1
דודי קנופלר ומקהלת מלכות ומי יודע,דודי קנופלר,0,1
צבי סילברשטיין - תודה,צבי סילברשטיין,0,1
חיים ישראל ומקהלת ידידים במחרוזת ניגונים מקפיצה במיוחד,חיים ישראל,0,1
אלי לוין באלבום חדש 'שמע תפילתי' -דוגמה,אלי לוין,0,1
דוד ריימונד בביצוע ייחודי לפיוט מעוז צור,דוד ריימונד,0,1
דוידי נחשון מגיש (25 דקות) מחרוזת שבתית בפסנתר,דוידי נחשון,0,1
יצחק פוקס בביצוע מיוחד לשיר חדש 'איך נהיינו לעם',יצחק פוקס,0,1
חנן בן ארי בסינגל חדש ''מקום'',חנן בן ארי,0,2
אפי פוטולסקי בקאבר ווקאלי ללהיט של קובי ברומר ''כמה טוב השם'',קובי ברומר,6,7
זבולון נתנוב ואליסף חפץ בליווי הקלידן ישראלי'ק בש - שירי הקפות,זבולון נתנוב,0,1
שהחיינו קובי גרינבוים,קובי גרינבוים,1,2
מאיר חג'בי בביצוע ווקאלי ללהיט של חנן בן ארי 'שבורי לב',מאיר חג'בי,0,1
מאיר חג'בי בביצוע ווקאלי ללהיט של חנן בן ארי 'שבורי לב',חנן בן ארי,6,8
שרולי גרין בשיר לזכרו של מיכאל שניצלער 'ביוטיפול פיפול' (אנשים יפים),שרולי גרין,0,1
מאיר מסוארי - בזמן הזה,מאיר מסוארי,0,1
שולי רנד - שירת העשבים,שולי רנד,0,1
שמחה פרידמן בגרסת הרמיקס בקרוב,שמחה פרידמן,0,1
אחיה אשר כהן אלורו וחברים - יוסף ניגון,אחיה אשר כהן,0,2
קובי ברומר  השם ישמור,קובי ברומר,0,1
אבי פודלינסקי אהבת ישראל,אהבת ישראל,2,3
"הלחין, ביצע ועיבד ישראל מן שר הבו להשם",ישראל מן,4,5
שלום למר עם תזמורת סבבה ומקהלת שירה וביום השבת,שלום למר,0,1
"הזמרים יוסף קרדונר, חיים דוד סרצ'יק והאחים איתן כץ ושלמה כץ משורר התשובה",יוסף קרדונר,1,2
"הזמרים יוסף קרדונר, חיים דוד סרצ'יק והאחים איתן כץ ושלמה כץ משורר התשובה",חיים דוד,4,5
"הזמרים יוסף קרדונר, חיים דוד סרצ'יק והאחים איתן כץ ושלמה כץ משורר התשובה",איתן כץ,8,9
"באר התלמוד - ועד שני, מנדי ג'רופי מחסנים את החתנים",מנדי ג'רופי,6,7
נחת בלדינגר מגיש קאבר ל'זיכרונות' של אייבי רוטנברג,אייבי רוטנברג,7,8
מחרוזת צמאה בני פרידמן,בני פרידמן,2,3
מקהלת נרננה ב'שיר המעלות' חדש,מקהלת נרננה,0,1
פרחי מיאמי בסינגל חדש _חנוכה הזה_,פרחי מיאמי,0,1
משה דוויק - כי אשמרה שבת,משה דוויק,0,1
יואלי קליין ושעיה גרוס מרגשים ''עמו אנוכי בצרה'',יואלי קליין,0,1
נפתלי קמפה מארח את ארי היל 'אם תעירו',נפתלי קמפה,0,1
נפתלי קמפה מארח את ארי היל 'אם תעירו',ארי היל,4,5
ר' יואל ראטה בסינגל ''אני לא לבד'' - ''איך בין נישט אליין'',יואל ראטה,2,3
תמיד שומר ארי ברמן,ארי ברמן,2,3
גד אלבז - הללו,גד אלבז,0,1
אבי מן & מקהלת ידידים העולמית - השבעתי (ווקאלי),אבי מן,0,1
אבי מן & מקהלת ידידים העולמית - השבעתי (ווקאלי),מקהלת ידידים,3,4
אליקים בוטה וגרשון ורובה ליבי במזרח,אליקים בוטה,0,1
מנדי ג'רופי בסיגנל מקפיץ חדש גאולה,מנדי ג'רופי,0,1
חתן וכלה מזל טוב אברימי רוט,אברימי רוט,4,5
אבי מן בלהיט חדש ''שיר למעלות'',אבי מן,0,1
עקיבא געלב וחזקי שוורץ מגישים 'דאנס איט 2',עקיבא געלב,0,1
ידידיה חייט בשיר תקווה ''ירושלים'',ידידיה חייט,0,1
הראל טל בשירו 'אל תשכחני',הראל טל,0,1
אהרלה סמט סוחף בסינגל חדש ''ילדים למדים בתורה'',אהרלה סמט,0,1
ר' שמואל ברזיל בסינגל נוסף - עין בעין,שמואל ברזיל,2,3
נהוראי אריאלי בסינגל נוסף מתוך האלבום- ללכת בלי לראות,נהוראי אריאלי,0,1
זאנוויל מבצע את טובות ונחמות של מנדי וייס,מנדי וייס,6,7
אברומי וינברג & ירון בר - אבא יקר,ירון בר,3,4
בעבור אבותינו - קומזינג תשפא,קומזינג,3,3
מקהלת נרננה והילד אלי וקסלר בשחזור היסטורי לשיר ''אליהו הנביא'',מקהלת נרננה,0,1
59 - שלמה קרליבך - אשת חיל - [Windos,שלמה קרליבך,2,3
- עדי רן - הגואל המשיח - מקורי,עדי רן,1,2
שמילי אונגר בסינגל חדש ''בקרוב ממש'',שמילי אונגר,0,1
אבי בן ישראל שר על ממלכת אבוחצירא לזרעו ציוה הברכה,אבי בן ישראל,0,2
