text,label
קלמן סדי,0
ארנון רובינסקי,0
שרוליק רוזנטל,0
ניסים גליקמן,0
בנימין לבן,0
דין דין אביב,0
דוד׳ל ווינברג,0
נחת בודינגר,0
דגן חננייב,0
לאון סובר,0
אדי בוסקילה,0
רפי גינת,0
איילון לואיס,0
אלימלך קליגר,0
הדר הופשטיין,0
ארתור לביא,0
יהודה בר-און,0
צבי הרשלר,0
צביקה ברק,0
מרים לוי,0
יהודה זילברברג,0
קורן עמר,0
אבי עברי,0
משה טבקולי,0
אלי מנדלבאום,0
חיים מרמורשטיין,0
מקס בדלוב,0
דוד בן ארזה,0
אחיקם אלישייב,0
עילאי ברנט,0
עופר קרסנר,0
יוסף מור,0
שי-לי צרקסקי,0
נועם אלעזר,0
אהרל'ה ויינטרוב,0
גיורא חקק,0
מנחם מאיר,0
אביעד סביליה,0
שגיב זינגר,0
שגיא פרנק,0
דולב ריחני,0
ויקטור חזן,0
שימי וייס,0
אילור סטפנסקי,0
דרור דובניקוב,0
קובי ברנשטיין,0
גדליה בנישתי,0
פורת נוב,0
אורי דמארי,0
בועז אדולף,0
ליאם אנטר,0
ציון גולן,0
יום דבב,0
אילן קראדי,0
לוטם גרוזמן,0
אבי שלזינגר,0
גילי שורץ,0
דניאל לוי,0
צ'רלי עזרא,0
עדי רן,0
אביהו עמוס,0
אלי יוסף,0
אליה בר,0
משה יעקב,0
שרוליק פטמן,0
אבי גולדשמיט,0
הילל הרוש,0
מוטי איילוביץ,0
אליהו ויינשטוק,0
ינאי גמליאל,0
ישראל גברא,0
אלרואי כלפון,0
אביחי וסרמן,0
רונאל סבאג,0
אליאור שטרן,0
ישעיהו ברמן,0
נחמן צוקר,0
בניהו מיכאלי,0
רובי בוחניק,0
עמוס רייס,0
טוביה אהרון,0
צבי גרינהיים,0
אייל רובינשטיין,0
אביה דויטש,0
לירוי כרמל,0
ברי ורקר,0
מנדי גרופי,0
דב שפיר,0
שמחה כץ,0
שליו קרואני,0
יואל וייס,0
עמרם סבהט,0
לייזר ברוק,0
נמרוד אשכנזי,0
דן פלדמן,0
שמואל שפירו,0
עמרם אדר,0
אבישי קצב,0
תום פיינרמן,0
יונה פרץ,0
סמי לומברד,0
שלומי סלמן,0
יאן יהודה,0
הורה קדצקה,0
אהרון פרוכטמן,0
יהודה בן-נון,0
קאי אלבז,0
יוסי גליק,0
עברי קראהן,0
ששון בן-משה,0
בני גל,0
אדיב בנימיני,0
יובל מירום,0
פסח איידנסון,0
הלל ברמן,0
ליאו סלע,0
אילון הייטנר,0
דר שפר,0
יובל ארד,0
עמית דנינו,0
אליעזר חרלפ,0
ברוך קלמן,0
יוסף צבי,0
רמי קפילוטו,0
להקת דביקות,0
ארז לב,0
הרצל אברהם,0
עידו כהן,0
שילה כהן,0
אבינועם וורקו,0
אמיר מגריבי,0
יוסי מעוז,0
עומר טרפה,0
איתיאל שמעוני,0
רום יוסף,0
חיים אדלר,0
חנוך שער,0
שבתאי טלקר,0
כפיר רינגל,0
עוז פורת,0
ניסים אריק,0
אלכסנדר מצא,0
לביא קולט,0
להב דבח,0
יונה בגה,0
אריה שפילמן,0
בניה מלמד,0
אריק סיני,0
חיים משה,0
מתן סידגייב,0
ישראל גרינברג,0
עידו סמאלין,0
איתן כ''ץ,0
פרוספר אקילוב,0
אסנת פז,0
חיים חדד,0
שושנה רוט,0
יהודית אביבי,0
יונה זליג,0
אדר ארטל,0
סיני נאור,0
מנואל שירוני,0
גד ליאור,0
דודי לינקר,0
עדן בדלוב,0
מנדי וייס,0
גדליה בינדיגר,0
יוני זינגלבוים,0
אבי סלמה,0
לידור קליר,0
גדעון רייך,0
סמי שוע,0
אהרלה סאמעט,0
גל יבלונסקי,0
אורין סעדה,0
ידידיה שושן,0
דוד ליבנה,0
מקהלת קהלת,0
אוריה גורן,0
חביב דיין,0
נוה אורם,0
עמרם צורי,0
יעקב חיים אינדורסקי,0
אבישי דורון,0
ירחמיאל בלנקי,0
מעוז קורן,0
אביאל ברמי,0
אושרי שחר,0
טוביה אזולאי,0
האסק,0
דב פרקש,0
אליהו צור,0
מוישי גלויבער,0
נועם ויצמן,0
אמנון ברוס,0
יומי רוזנבאום,0
פישי הגדול,0
יומי לואי,0
לביא ארן,0
חיים דוב וולף,0
כפיר ליפשיץ,0
ישעיה מייזלס,0
יניר סופר,0
אריאל בורסוצקי,0
אלישע קמינסקי,0
דוד פריד,0
אברהם שמיאן,0
צוריאל סולטן,0
חיים קניג,0
מלכיאל אוחנה,0
לירוי עזרא,0
גיל עקביוב,0
דדי גראוכר,0
אורי בן-ארצי,0
ירין אלקראט,0
מסעוד נצר,0
השי רובי,0
עמנואל טוביאנה,0
אדם ברגר,0
דן גזולי,0
צבי סילברשטיין,0
אופרי מיאלי,0
שלומי טויסיג,0
מורן עבו,0
מיכאל דויטש,0
עמיחי גרנות,0
שרוליק הרשטיק,0
נחשון רון,0
רוי פאר,0
עמיחי פלסר,0
שניאור אוראל,0
נטע עודי,0
מורן קוצינסקי,0
גרשון לוין,0
אלדד רוזנר,0
דודי קנאפלער,0
עדי ברקאי,0
דגן מרגליות,0
ים איזנברג,0
אלתר קריטי,0
פרחי השומרון,0
מקהלת 'כיסופין',0
אביגדור בן-יעקב,0
שימעון מרציאנו,0
מוטי גולדמן,0
אביגדור לוגסי,0
ינאי ווקנין,0
דן איסחקוב,0
אליאב קריחלי,0
מאיר סווירי,0
נדב מירנדה,0
אושרי גשייד,0
קלמן שוגרמן,0
אביחי חדד,0
דיויד חיון,0
אילון רובין,0
מנדי ג'י,0
מרים טל,0
גולן איתני,0
שגיא שלום,0
ישראל ורדיגר,0
אליה ביתן,0
חנן מגני,0
ויקטור דלנוקי,0
נחשון רבין,0
טוהר ברושי,0
ניקיטה בוטראשוילי,0
בארי רצון,0
לני גרגי,0
ארי היל,0
דניאל קרייטנברגר,0
גילעד בלוך,0
מתן ונטורה,0
מייקי מוקטון,0
דודי קפלר,0
כרמל אורטס,0
עמית רטיג,0
ארבל פרקר,0
גד עסיס,0
יוחנן יחזקאל,0
ישראל אדלסון,0
אמיר אליהו,0
אביטל שורץ,0
נחום פרץ,0
ברוך פרידמן,0
זיו יחזקאל,0
עמרם בורנשטיין,0
האחים סלומון,0
מעיין כץ,0
עופר מדמון,0
יונס אביב,0
הלל גרוס,0
דוד פנחס ראטה,0
נחמי גלויבער,0
אוהד כהן,0
אושרי אילון,0
יצחק בן-אהרון,0
עיליי קינדלר,0
נתי ברזילי,0
יוגב רנר,0
דור שרייר,0
ענר סדן,0
זלמן פולק,0
אביחי ליפשיץ,0
יוני זילברג,0
נדב פיינשטיין,0
ינון טויטו,0
אלי ביגון,0
שלמה יעקב וועבר,0
יובל בלסן,0
יואב ברסלויער,0
זכריה ישר,0
חי חשין,0
מני אפשטיין,0
רמי דנוך,0
האחים פוטולסקי,0
ליאל אלחנני,0
שמעיה סילברמן,0
מקהלת 'יחד',0
עומרי זליג,0
ברק אקער,0
עדיאל שיטרית,0
תומאס חבקין,0
יהודה ביטון,0
אהרן ברק,0
עמיאל בנגייב,0
דורון שמעוני,0
שי-לי מוסקוביץ,0
מוריס קרביץ,0
טום ויצמן,0
שיר מנשרי,0
איתן יולזרי,0
שובל אהרון,0
אלתר נתיב,0
רות נצר,0
צמד ילד,0
איצי אקרמן,0
סהר לזרוס,0
נפתלי קיסר,0
בניהו מדינה,0
מוטי זינגלבוים,0
אסא שוורץ,0
תומר סנדלר,0
יובל ליבוביץ,0
שמואל ויס,0
גדי פייגולד,0
נחשון רחמים,0
דוד סקייסט,0
זינובי שולמן,0
שירן גומן,0
מוטי אילאוויטש,0
פרחי ישורון,0
אליעד בלוך,0
הראל הלמן,0
אלמוג מלמד,0
נאור אמיתי,0
איליי וייצמן,0
עידו מרגולין,0
ירמיהו חדש,0
ניק נדב,0
שניאור דוקן,0
דודי קליין,0
אריק שיבר,0
בניה רוזוב,0
נוהר צדר,0
אביגדור מלכי,0
אלירן מורן,0
אבי דדוש,0
בנציון ברכר,0
תבל נגר,0
אלישי בוסקילה,0
אוראל שדה,0
רונן דומטוב,0
מקהלת שובו בנים,0
שמעי ענגעל,0
ששון לבקוביץ,0
אלכס מורנו,0
רונן ליטווק,0
מישל כהן,0
אברהם סאמעט,0
יהודה ביר,0
אברהם שמואל ווידער,0
אביגדור גביש,0
יהונתן מנת,0
נהוראי קון,0
ידידיה דרגולי,0
רביב לקס,0
מלאכי טלקר,0
שימשי ניימן,0
ליעם מילר,0
נטע מרדכי,0
דוד קוסביצקי,0
משה דוד ווייסמאנדל,0
צבי וייס,0
ידידיה וקסלר,0
יהלי סלמי,0
סלמן דגו,0
סעדיה טאיב,0
זליג רויף,0
חנה רותם,0
אליעד אליהו,0
עמוס צורף,0
ליאו טבח,0
ענת רונן,0
אבי סגל,0
יותם לברון,0
גיא מנדל,0
שלום בראדט,0
שיע קלר,0
סטיבן קדוש,0
מידד טסה,0
לב קוסוי,0
מייקל נקש,0
אמיתי טספה,0
לירון בורשטיין,0
לייבלה השל,0
אהרן הלוי,0
נהוראי תורג'מן,0
יוסי פריד,0
נבו לוי,0
נעם הראל,0
יוסי גרוס,0
עינב סופר,0
ישי גרוסו,0
שלמה סלצקי,0
מיכאל קורן,0
זמרי ברודי,0
אבישי ארוש,0
רם אמסלם,0
רפאל נחמיאס,0
חיים דוד,0
לירון קרני,0
אהרון הנדל,0
עמיחי כרם,0
עודד מנשרי,0
משה קפון,0
אבישי רוזן,0
פנחס דויטש,0
ישי שין,0
יגאל צליק,0
אליה עפרוני,0
ציון גובני,0
שחר קפלן,0
דובי מייזלס,0
נותי פוקס,0
אריה דרעי,0
רותם נתיב,0
אילעי אלוני,0
פנחס לין,0
בערי וועבער,0
זליג שביט,0
אברומי פלאם,0
טוהר קבקוב,0
מאיר ריבקין,0
דני זכריה,0
לייבלה ולדמן,0
אהרן דנין,0
אהרן מאיר,0
ליאור דוד,0
נועם שמואלי,0
אלימלך שבצוב,0
נמואל הרוש,0
חיים ברוין,0
הוד יוסף,0
אלעזר קדם,0
מתתיהו שלו,0
אבירן אבני,0
אלעד גבאי,0
איתן טרוזמן,0
אבי ברק,0
אשר פלדמן,0
ירון נעמן,0
לוי כהן,0
יוסף זאב בראווער,0
ניסים גרומן,0
אלישיב ברעוודה,0
אוהד הרוש,0
סתיו אורן,0
אור-חיים העברי,0
יהודה מור,0
גבי שבו,0
מאיה שמש,0
נאור שומר,0
בן-ציון פישר,0
לירז ארליך,0
איציק שקולניק,0
אריק גלוסקא,0
דני רוזנבלום,0
שימי תבורי,0
אבשלום נומה,0
מיכאל דורי,0
יניב גרינברג,0
יוגב ירום,0
אילון עטרי,0
אלנתן מלול,0
אלי לוין,0
אליהו רפאל כאין,0
דוד פדר,0
אבריימי רוט,0
גבע גרין,0
אלימלך פנחסי,0
מישל אלימי,0
אלעזר גבאי,0
חנן ברפמן,0
ברוך נפתלי,0
יובל פרנקל,0
לירוי מזוז,0
גדעון אונה,0
גילי זאודה,0
יעקב אליהו,0
צדוק מנדל,0
עוזי יוסופוב,0
אלה לי להב,0
רני יזרלביץ,0
נועם מיכאל,0
שמואל דוד לנדא,0
יואלי דוידוביץ,0
יהודה גרובייס,0
יונתן לידור,0
מתנאל הורדה,0
עילם גלאון,0
מקהלת נרננה,0
נתנאל גנץ,0
יפתח גולד,0
שמואל מדאלסי,0
סאן האוקיפ,0
אריה קונסטלר,0
ניצן מילר,0
נאור סנדרוביץ,0
אלדד דזיאלובסקי,0
עמנואל ג'אנו,0
נוה קרומביין,0
אדוארד מינס,0
שלמה ארצי,0
האחים הורביץ,0
האחים בכר,0
אלברט מיכאל,0
ליאב אזולאי,0
אהרון חסדאי,0
כדורי הרוני,0
אלחי אזרד,0
גיורא קירילוב,0
סיימון מיץ,0
אברהם לייב בורשטיין,0
מעוז גולדשטיין,0
עדי עובדיה,0
ניר עוזר,0
אלקנה נדב,0
אברומי רוזנבאום,0
מקהלת כתר,0
נחמן פוקס,0
אורון חימוביץ,0
סתיו בלן,0
פנחס ברייער,0
שאול מרטין,0
שמשון סגל,0
שגב יעקב,0
דותן דובדבני,0
עמיעד רחמים,0
מנשה אלון,0
ניב נאווי,0
אורין טבול,0
גולן שכנר,0
עמיהוד ויניצקי,0
איז'ו ליבוביץ',0
ארי סאמט,0
אופיר כהן,0
דין שלו,0
מרים גיל,0
אוריאל צימרינג,0
בן סמה,0
חושן בוסקילה,0
פיני איינהורן,0
איתמר בורשטין,0
מרדכי ספוקויני,0
דוראל ארונסון,0
אורון פז,0
נעמה אופק,0
רחל מרים,0
שירה גבאי,0
אלרואי אדמוני,0
זמיר זץ,0
עתי מטיאס,0
יהלי אופיר,0
שמוליק לוטרמן,0
אורון שטורך,0
אביגדור לוי,0
איצי קופולוביץ,0
הלל פרידמן,0
מוטי אקוע,0
ישראל מקמל,0
יהושע ווידער,0
כרם אמסטרדמר,0
עילאי בוכריס,0
גבע דבש,0
מנדי וולד,0
דור זעירא,0
ארז איטח,0
מוישי פריינד,0
להקת זושא,0
בני מזרחי,0
גור שחר,0
עמנואל שולמן,0
אלמוג פרי,0
יחזקאל ברון,0
אוראל הנפלינג,0
עובדיה אלמשעלי,0
נסי פלד,0
ירדן שמעילוב,0
חיים קוזוכוביץ,0
יהב ברוכים,0
אלימלך בוסי,0
מייק שאול,0
חביב אטיאס,0
עוזיה צדוק,0
ראובן פלדמן,0
שלום צברי,0
יואב ארליך,0
יוסי פיאמנטה,0
שלום זריהן,0
איצי שווארץ,0
יובל טייב,0
חיים בנט,0
אמיר אלוש,0
יחזקאל קלמן,0
בניה אפרים,0
נדיר לשם,0
שגיב מייזלר,0
חן דרעי,0
דוד בן דוד,0
מידד אשכנזי,0
חנוך לופס,0
ראובן שמידט,0
ליפא רייף,0
ברוך ערוסי,0
נהוראי קינד,0
ארז דקל,0
הראל רוטנברג,0
צוריאל ווקנין,0
עידן דרי,0
מקהלת תפילה וזמר,0
פרוספר שרבי,0
שניאור לוצקר,0
צבר נוי,0
ליאור אלמליח,0
אריאל אוקרט,0
לירוי מלכה,0
שלומי ימין,0
אבי ויזן,0
מרטין שרעבי,0
נוה שלום,0
אשר היינוביץ,0
ניתאי משה,0
הרשי מושקוביץ,0
אלישיב שניידר,0
יפתח רוזנפלד,0
יהודה מעטוף,0
אמוץ מרינוב,0
יורם כרמי,0
אבי אילסון,0
אייבי כהן,0
תומי נביאי,0
אברהם דויטש,0
יעקב פלדשטיין,0
נתי כובאני,0
חגי ימיני,0
הלל דור,0
עוז גריינר,0
ידידיה שניידר,0
נתנאל מרשל,0
מקהלת קולי רנה,0
רום וידיסלבסקי,0
אליעזר הררי,0
גלעד אמסלם,0
ישראל פורטנוי,0
חנניה גז,0
שלומי קאופמן,0
יענקי אויש,0
אוריה שפירא,0
עקיבא קנדלקאר,0
מעיין שורצר,0
תיאודור כוכבי,0
איליי זאיד,0
מרדכי כהן,0
בארי גולדמן,0
רון אהרוני,0
איליה שלוש,0
טלאור שוויץ,0
שיר טולדנו,0
שמואל ויגודה,0
בני לבנון,0
ניסן טללה,0
להקת רבותי,0
עמי מטאטוב,0
אברהם שמש,0
יהודה שיש,0
יהב מכלוף,0
דוראל נואמה,0
דוד'ל ווינברג,0
ניר גרימברג,0
סהר תורגמן,0
הלל לנדאו,0
ניצן חדאד,0
קובי לגטיוי,0
דורי ישראל,0
אסף פריאנטי,0
אברהם אהרן אזולאי,0
דז'ה ארנסטר,0
להקת יאפצ'יק,0
איציק כהן,0
עוז נגש,0
עידו שלום,0
אסי שטראוס,0
אחיה אוחיון,0
ישי סיידוף,0
גיורא קוזר,0
ינאי גלבוב,0
אילנה אביטל,0
מנחם רוזנבלום,0
לב וינד,0
מרדכי אשכנזי,0
בצלאל קורן,0
רוי קייסר,0
אברהם דוד ורצברגר,0
אבנר אליהו,0
מיכאל צידון,0
איתן בן משה,0
ידידיה יהושע,0
בני כהן,0
אליהו חן,0
רן אטיאס,0
סוף פופוביץ,0
גרשון אלבכרי,0
תום לנדא,0
איתם פורן,0
ליאב מאירי,0
חנוך בן משה,0
אלחנן נגר,0
לאה הדר,0
נפתלי מזור,0
אלישיב כהן,0
אבי הס,0
ליעם ממן,0
גדי רצון,0
מרטין דוידסון,0
ברוך שלום,0
דני שיף,0
יוסי הופמן,0
רותם כהנא,0
דולב אלמייהו,0
מאיר רוזינגר,0
מוישי ולדמן,0
רפאל יעקב,0
ויקטור גרוס,0
בניה חייבי,0
איציק ווייס,0
ניל פלט,0
עובדיה ברזלי,0
ארד רוקח,0
משה גיאת,0
יששכר אדלר,0
עידו בן גל,0
ישראל אזרחי,0
מאיר אליאס,0
חיים הורוויץ,0
נהוראי גרמה,0
בר שגב,0
מקהלת בית המדרש,0
הדר ברון,0
שלמה טהר,0
ניתאי דרמון,0
יהונתן רזאל,0
האחים כליף,0
צדוק גולן,0
שלמה טל,0
חנן לנדנר,0
ארז לבנת,0
זרילי ורצברגר,0
אריאל דרור,0
יעקב שטיינרמן,0
ניתאי ניקולייב,0
אהרן בירק,0
יוסף גולדשטיין,0
שמוליק קלוסקי,0
אילי שמואל,0
ראם האוקיפ,0
משה דוד פרנקל,0
בועז פיטוסי,0
אליהו חייט,0
אביעד גוזלן,0
איתי כהן,0
שמואל רודענסקי,0
אלעזר וולקן,0
יונתן קלימי,0
רונן תותי,0
יעקב קובלן,0
אהרל'ה סאמעט,0
ניר קפטן,0
שגב מרזן,0
ויקטור קוגן,0
חנה רפפורט,0
עופר בן-נון,0
אבי דרור,0
זכריה מקייטן,0
רותי רוזנבלט,0
יהלי פרנקל,0
מילאן אלמלח,0
יחיאל גיניגר,0
אלעזר ביטון,0
שימי רבינוביץ,0
בר ברמן,0
עיליי פולק,0
שלומי טל,0
ניסים דורך,0
שאול ברמן,0
שלום בראון,0
ליעד פרץ,0
עמרם גרין,0
שביט יצחקוב,0
אברימי רוט,0
גד פיוריזין,0
תמר נאור,0
ברוך אדרי,0
יוני שושן,0
יהונתן לוי,0
לירוי וינטראוב,0
ינון פרקש,0
הוד רומם,0
אילון ליבמן,0
בריו חקשור,0
אלקנה רפפורט,0
עילי מדמון,0
דורון קור,0
לייבי מושקוביץ,0
חיים פורטל,0
אדי עובד,0
ארבל פקר,0
ניר יאמפולסקי,0
רועי סלוצקר,0
חיים נחום מרמלשטיין,0
סטיבן נדב,0
שלמה שמחה,0
צבי זילברשטיין,0
תאי יעקובי,0
אהרן גפני,0
לירון כרקוקלי,0
נדב בורשטין,0
יהושע קליין,0
מאיר לוי,0
גבריאל ברט,0
מעוז דיגורקר,0
דון אללוף,0
אלרוי עמר,0
להקת הווקאל 'רבותי',0
יוני ווקסלר,0
יוסי בלומבערג,0
גבי שטרנגר,0
עמית מעודה,0
יוסי גלנץ,0
יהודה פליישמן,0
שלום שמש,0
עדי בן דוד,0
אלון אומדי,0
סמי סמגה,0
זמיר קריב,0
אלי מילר,0
ריף נתן,0
צהל לינר,0
אליעזר פלג,0
יאיר אלייצור,0
אשר ברנשטיין,0
דניאל וינברג,0
יואל אלהרר,0
חנוך בניהו,0
אהרון אבהר,0
שמעון קצנלנבוגן,0
יאיר כהן,0
שניאור מליחי,0
יגאל זנגי,0
הרצל מעודד,0
מנחם מוסקאוויטש,0
דינה ברק,0
דקל שינה,0
אסף משיח,0
רעי אורן,0
יששכר גז,0
דותן גולדפרב,0
יוסי אזולאי,0
שי זוהר,0
יריב וגשל,0
מיתר צברי,0
מעוז פינק,0
אייל דוד,0
שלום פרקש,0
חנן וייסר,0
מרדכי יצהר בוימל,0
יגאל דוד שטטנר,0
ישעיה לדרמן,0
שלוימי גרטנר,0
איליי ויינשטיין,0
מקהלת נשמחה,0
ג'קי אטיאס,0
חיים רוט,0
רואי נחמיאס,0
שרוליק מילר,0
אשר וינר,0
עירא קנתן,0
גריגורי ביינה,0
רובי רוברטסון,0
גבריאל טומבק,0
פרחי שלהבת,0
ברוך ליבוביץ,0
טל קריגר,0
איליי חן,0
יקיר סורוג'ון,0
אילי פרי,0
צליל משיטה,0
בן גורביץ,0
יונגערליך,0
אלירז סלחוב,0
גונן רפאל,0
ניל פינטו,0
שלום ביינה,0
לירון מונטג,0
נחמן אוחיון,0
מתן רבינוביץ,0
אברהם אבוטבול,0
מרניק סמאק,0
עמית שקד,0
אמיתי יזראילוב,0
יזהר טלקר,0
מוטי ויזל,0
רחמים הראל,0
אוהד אזריאל,0
מוטי אילוביץ,0
מיכל רובין,0
תמיר אברומוב,0
מירון פרחומנקו,0
להקת מברוק,0
יריב אמיר,0
טוביה בולטון,0
רמי קורדובה,0
מקהלת 'ישיש',0
רפאל סופר,0
נסים גרמה,0
אלי מרקוס,0
אביעד עזר,0
שמוליק אינדיג,0
אדוארד דהן,0
יואל גליק,0
שניאור חדד,0
בני טייטלבוים,0
לידור מאירמן,0
ברק מנדלבאום,0
יריב ארז,0
אוהד עוזרי,0
יוסי אדלר,0
בן סנוף,0
אמוץ גיספן,0
שמי מרציאנו,0
בנימין הולנד,0
יעקב בן-יהודה,0
גדעון אנוש,0
אלכס דרעי,0
לירן בודובסקי,0
נתניאל ביניק,0
חיים רפאל גרוסמן,0
אליקם בוטה,0
איתי פישר,0
חיים בוטבול,0
אושר כהן,0
אמיר אדריאן,0
