Column A,Column B,Start Position,End Position
ברוך שם כבוד מלכותו,ברוך שם,0,7
גיל מצוות,גיל מצוות,0,9
דוד ולדר   אשרי יושבי ביתך,אשרי יושבי,11,21
דרור יקרא,דרור יקרא,0,9
הדרך חזרה,הדרך חזרה,0,9
הטבח בביה''כ בהר נוף,בהר נוף,13,20
היום קצר,היום קצר,0,8
הים ראה וינוס,הים ראה,0,7
הלילה נרקוד   רמיקס,נרקוד   ,6,14
הרגע שלנו,הרגע שלנו,0,9
ויחן שם ישראל,שם ישראל,5,13
זוהר זכרוב   גיבור של אמא ( בית ספר למוזיקה ),בית ספר,28,35
חגיגה בשטח,חגיגה בשטח,0,10
חמוץ מתוק,חמוץ מתוק,0,9
חתן דומה למלך,דומה למלך,4,13
חתן דנדש,חתן דנדש,0,8
טאי פריים גויס,פריים גויס,4,14
טפח מעל הקרקע,מעל הקרקע,4,13
יהא שלמה רבא,שלמה רבא,4,12
יוסי ברי _ שימי סקלאר   YES  WE CAN   ישיבת תורת יעקב (בויאר קרית הרצוג),בויאר קרית,55,65
ילד   הופעה חיה בזאפה ירושלים,בזאפה ירושלים,16,29
ים ביי בידי ביי ביי,ביי ביי,12,19
ישיבת פורת יוסף העתיקה,יוסף העתיקה,11,22
כה אכסוף נועם שבת,נועם שבת,9,17
כי אין מלה בלשוני,מלה בלשוני,7,17
כרחם אב קאבר יחיאל לכטיגר ומקהלת שפתותנו נרננה,שפתותנו נרננה,33,46
כרתי ברית,כרתי ברית,0,9
לא גבה ליבי,גבה ליבי,3,11
לאמיר זינגען,לאמיר זינגען,0,12
לב שבור,לב שבור,0,7
ליבי שפכתי,ליבי שפכתי,0,10
לייזר ברוק   הכרזת חודש מנחם אב (חזנות),מנחם אב,24,31
למולדת שובי,למולדת שובי,0,11
לעשות מצוות,לעשות מצוות,0,11
לשפוך ליבי כמים,לשפוך ליבי,0,10
מול אלי וגדלו,אלי וגדלו,4,13
מזלט משה מרדכעל_ע,משה מרדכעל_ע,5,17
מחאה מוזיקלית נגד האייפון,נגד,14,17
_ יצהר,ניגוני הלל,-1,9
מחרוזת רבי נחמן נחמן וניסים סבג ודי ג_י ניסוו סלוב,נחמן נחמן,11,20
מחרוזת שירי פורים תשפ_א פורים 2021 מחרוזת שירי פורים מקפיצים במיוחד מחרוזת פורים קצבית Purim Medley  YouTube,מקפיצים במיוחד,53,67
מחרוזת שירי שבת,שירי שבת,7,15
מיילך קאהן  נכנס יין,נכנס יין,12,20
מיין נשמה יתירה,נשמה יתירה,5,15
מימיני מיכאל,מימיני מיכאל,0,12
מיני סט ברסלב די ג_י אזמרה,מיני סט,0,7
מנוחה ושמחה אור ליהודים,אור ליהודים,12,23
מעל פסגת הר הצופים   וואקלי,מעל פסגת,0,8
נחל נובע    שמחה ואמונה!!s,שמחה ואמונה!!s,12,26
ניגון דריי מאל געטאנצט,דריי מאל,6,14
ניגון החוזר בתשובה,החוזר בתשובה,6,18
ניגון חסידי עתיק מלנינגרד,עתיק מלנינגרד,12,25
ניגון לר בער משהס מקרעמנצוג,משהס מקרעמנצוג,13,27
נסיעה ארוכה,נסיעה ארוכה,0,11
נפלתי קמתי,נפלתי קמתי,0,10
נתן גושן   אין הרבה מה לעשות (Prod by. Stav Beger),הרבה מה,15,22
נתן גושן   אשרי יושבי ביתך(MP3 128K),אשרי יושבי,11,21
נתן גושן   אשרי יושבי ביתך,אשרי יושבי,11,21
סינגל עזר נישואין שערי תורה  מנדי ווייס,שערי תורה,18,27
"סינגלים, יניב בן משיח ומאור אדרי בעזרת ה MP3",סינגלים,0,7
"סינגלים, שלומי דסקל& מאט דאב  כולי",סינגלים,0,7
עולם של שלום   לזכרה של אורי אנסבכר,לזכרה של,15,23
עומר אדם   יש דברים שלא עושים,דברים שלא,14,23
עננים,עננים,0,5
עץ חיים היא,חיים היא,3,11
עץ שתול על מים,עץ שתול,0,7
ערבים עלי דברי דוד,דברי דוד,10,18
פרויקט קפיצת הדרך מן השמים 2022,הדרך מן,13,20
ראה אנכי,ראה אנכי,0,8
שאלו שלום ירושלים,שאלו שלום,0,9
שבע יפול צדיק,יפול צדיק,4,13
שהנשמה בקרבי,שהנשמה בקרבי,0,12
שיבואו עלינו,שיבואו עלינו,0,12
שערי תפילה,שערי תפילה,0,10
תנו עוז לאלוקים,עוז לאלוקים,4,15
03 ירושלים של זהב,03 ירושלים,0,10
6 השר משה מונטיפיורי,משה מונטיפיורי,6,20
אבי אבי,אבי אבי,0,7
אבי ומלכי,אבי ומלכי,0,9
אור בליבי,אור בליבי,0,9
אור הלבנה,אור הלבנה,0,9
אחי בני תימן,בני תימן,4,12
אלוקי עוז,אלוקי עוז,0,9
אליך לב ונפש,אליך לב,0,7
אלפי זהב,אלפי זהב,0,8
אנה אפנה,אנה אפנה,0,8
אני ישנה וליבי ער,ישנה וליבי,4,14
אש הלהבה,אש הלהבה,0,8
אש רוקדת,אש רוקדת,0,8
אשתך כגפן פוריה,אשתך כגפן,0,9
ביום קראתי יוסף ושוע ואשר שיק,קראתי יוסף ו,5,17
בשערייך ירושלים,בשערייך ירושלים,0,15
"גדליה, דו ביזט אונזער טרייסט","גדליה,",0,6
דנס רק לשמוח ננח,דנס רק,0,6
דעם רבינ'ס צמאה נפשי,דעם רבינ'ס,0,10
האמונה שומרת,האמונה שומרת,0,12
הודאה ובקשה,הודאה ובקשה,0,11
החיים ממשיכים,החיים ממשיכים,0,13
הלילה נרקוד,נרקוד,6,11
המסע לנפש,המסע לנפש,0,9
השמיים מספרים,השמיים מספרים,0,13
השר מונטיפיורי,השר מונטיפיורי,0,14
זאת ירושלים,זאת ירושלים,0,11
חוזר הביתה ווקאלי,חוזר הביתה,0,10
חייב לשרוד אבי פודולינסקי,חייב לשרוד,0,10
חנוך לנער,חנוך לנער,0,9
חסידי ראפפער  אורה זו תורה,אורה זו,14,21
חסידי ראפפער אורה זו תורה,אורה זו,13,20
חצי המנשה,חצי המנשה,0,9
טראפ טאנץ,טראפ טאנץ,0,9
יה ריבון,יה ריבון,0,8
יובל_טייב_אם_אין_אני_לי_ _דוסינט_ _א!ר_הא!ר!ת,_דוסינט,25,32
זמרים בשיר,אליאב ו 30,-1,9
יחיד ומיוחד (הולכים להשתגע),יחיד ומיוחד,0,11
יכירו וידעו,יכירו וידעו,0,11
יעדער היינר דאווענט,היינר דאווענט,6,19
יש כאן,יש כאן,0,6
ישראל מאמינים,ישראל מאמינים,0,13
כולם נקבצו,כולם נקבצו,0,10
כשהנשמה מאירה,כשהנשמה מאירה,0,13
לכו נרננה,לכו נרננה,0,9
מאט דאב ומנחם וינשטיין בגירסה אלקטרונית לאליהו הנביא  מציאון במייל להצטרפות metzion123@gmail.com,להצטרפות metzion123@gmail.com,67,96
מה קורה לי   רמיקס,מה קורה,0,7
מול שערי שמים,מול שערי,0,8
מחרוזת ניגוני הלל ושמחה ישיבת רועה ישראל _ יצהר,הלל ושמחה,14,23
מחרוזת שמחת בית השואבה להקת תכלס,בית השואבה להקת,12,27
מי יורה לנו דעה   שיר על הרב עובדיה יוסף זצוקללהה,עובדיה יוסף זצוקללהה,29,49
מיטב הלהיטים המקפיצים מכל הזמנים במחרוזת אחת ,הזמנים,26,32
מישהו דופק בדלת,מישהו דופק,0,10
"מקהלת שבח, מקהלת נפשות ישראל  אפתח בכינור (סאסוב)",נפשות ישראל,17,28
ניגוני הינוקא   ניגון אדיר איום,הינוקא,7,13
נפלה עטרת ראשנו,עטרת ראשנו,5,15
סינגל חדש לזמר סיני   דע דע דע,דע דע,22,27
עדן חסון   הלב שלי. מיוחד למצעד הישראלי השנתי תשעט של גלגלצ ו וואלה!NEWS,גלגלצ ו וואלה!NEWS,54,72
פתח לנו שער,פתח לנו שער,0,11
קם מתוך חלום,קם מתוך,0,7
עמדו צדיקים,עמדו צדיקים,0,11
פתח לנו שער,פתח לנו שער,0,11
רוני עקרה,רוני עקרה,0,9
רק תחייך,רק תחייך,0,8
שיר נבואי קוסמי עליז,נבואי קוסמי,4,15
שירה כים,שירה כים,0,8
שלומי קצנלבוגן   רק מאהבה,רק מאהבה,17,25
שתשרה שכינה,שתשרה שכינה,0,11
תקציר האלבום זעקתי,האלבום זעקתי,6,18
אבי שבשמים,אבי שבשמים,0,10
אור האורות,אור האורות,0,10
אור הנר,אור הנר,0,7
אמונה שלמה,אמונה שלמה,0,10
אשרינו שאנחנו יהודים,אשרינו שאנחנו,0,13
באתי לחלום רימיקס,באתי לחלום,0,10
בקרוב אצלך,בקרוב אצלך,0,10
הַשַּׁבָּת נֹעַם הַנְּשָׁמוֹת • א ניגון לכבוד שבת,נֹעַם הַנְּשָׁמוֹת,11,29
האלבום להודות ולהלל,האלבום להודות,0,13
"הילדים זעקו הלהיט הליטאי החדש ''תורה, איה השר''",איה השר,38,45
היפ והיימיש יוני Z ולהקת זאלץ,ולהקת,19,24
השיר שהלווים,השיר שהלווים,0,12
יהא שלמא,יהא שלמא,0,8
כפרה עליכם,כפרה עליכם,0,10
ליקוטי מוהרן,ליקוטי מוהרן,0,12
לקבל שבים,לקבל שבים,0,9
מציאות אחרת,מציאות אחרת,0,11
עמי מימון סט רימקסים,סט רימקסים,10,20
צלצול מרדכי גוטליב ניגון גוטליב,צלצול מרדכי,0,11
ראש השנה ביים רבין חיים ברייער,ביים רבין,9,18
שירה לצדיקים,שירה לצדיקים,0,12
